(0)number, (1)prod_id,(2)prod_name,(3)prod_descr,(4)source,(5)img_path,(6)my_img_path,(7)price,(8)in_stock, (9)needed_stock, (10)location
109,am-0096a,1/2 in. Hex Hub,This hub fits all AndyMark wheels. If this hub is out of stock our 500EX Hex Hub (am-2568) is functionally identical. The bolt pattern is designed to have 6 holes that are evenly spaced on a 1.87...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/1-2-in-hex-hub/am_0096a/5bd3e2da61a10d27d24331d1/large_thumb.jpg?c=1540612826,AndyMark/am-0096a.jpg,11.0,0.0,0.0,null
110,am-2000,Pneumatic Base Kit,This kit of parts makes up a system which creates pressurized air in a safe :  manageable manner for mobile robots.This is an assortment of lightweight parts picked specifically to work well together...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/pneumatic-base-kit/5bd31a7961a10d2918964434/large_thumb.jpg?c=1540561529,AndyMark/am-2000.jpg,239.0,0.0,0.0,null
111,am-0801a,Long 1/2 in. Hex Steel Output Shaft with Magnet...,This is an optional long steel output shaft for the Toughbox® series gearboxes. This shaft includes a pre-installed magnet designed specifically with the E4T OEM Miniature Optical Encoder (am-3132)...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/long-1-2-in-hex-steel-output-shaft-with-magnet-for-toughbox-series/am_0801a/5bd3e31861a10d27d243328b/large_thumb.jpg?c=1540612888,AndyMark/am-0801a.jpg,17.0,0.0,0.0,null
112,am-3556,Gadgeteer Pigeon IMU,Product Overview: Pigeon is an IMU with 9 degrees of freedom :  containing a 3-axis magnetometer :  accelerometer :  and gyro. The gyro has built-in temperature compensation. Pigeon provides a heading b...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/gadgeteer-pigeon-imu/5bd8a22561a10d5935a535d8/large_thumb.jpg?c=1540923941,AndyMark/am-3556.jpg,60.0,0.0,0.0,null
113,am-2602,F6 Flexible 1/2 in. Self-Wrap Split Braided Sle...,F6's unique split :  semi-rigid braided construction makes it the ideal solution for situations where ease of installation is of primary importance. The lateral split allows the tube to open up to ac...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/f6-flexible-1-2-in-self-wrap-split-braided-sleeving-10ft-section/am_2602/5bd497e261a10d27d2433460/large_thumb.jpg?c=1540659170,AndyMark/am-2602.jpg,10.0,0.0,0.0,null
114,am-0692,FR6ZZL- 3/8 in. hex Bearing,3/8 in. Hex Bore :  Shielded :  Flanged Ball Bearing with Large (1.125 in.) Outside Diameter,1,https://andymark-weblinc.netdna-ssl.com/product_images/fr6zzl-3-8-in-hex-bearing/am_0692/5bd3e31161a10d27d2433275/large_thumb.jpg?c=1540612881,AndyMark/am-0692.jpg,6.0,0.0,0.0,null
115,am-3473,Collar Clamp :  6mm,This collar clamp is useful for locating and retaining items on a 6mm shaft.,1,https://andymark-weblinc.netdna-ssl.com/product_images/collar-clamp-6mm/5bd89e6861a10d5935a53500/large_thumb.jpg?c=1540922984,AndyMark/am-3473.jpg,4.0,0.0,0.0,null
116,am-3890_Crater,Rover Ruckus Crater,How can you make the 2018-2019 FIRST Tech Challenge Rover Ruckus game realistic? Craters :  craters everywhere!Although this looks like it could be your standard wheel chock :  the car will win. But br...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/rover-ruckus-crater/5bca263c61a10d0ea88b7834/large_thumb.jpg?c=1539974716,AndyMark/am-3890_Crater.jpg,75.0,0.0,0.0,null
117,am-2011,Pneumatic fitting :  straight :  1/4 in. tube :  pres...,This is a pneumatic push-to-connect male straight fitting. The port is a 1/8" NPT male thread :  and 1/4" diameter tube can be pressed in to the push-to-connect fitting.,1,https://andymark-weblinc.netdna-ssl.com/product_images/pneumatic-fitting-straight-1-4-in-tube-press-in-1-8-in-npt-male/am_2011/5bd4979361a10d27d243335f/large_thumb.jpg?c=1540659091,AndyMark/am-2011.jpg,2.0,0.0,0.0,null
118,am-0367,#35 Single Strand-Riveted Roller Chain :  10',#35 Roller Chain :  10 feet,1,https://andymark-weblinc.netdna-ssl.com/product_images/35-single-strand-riveted-roller-chain-10/am_0367/5bd3e2fb61a10d27d2433235/large_thumb.jpg?c=1540612859,AndyMark/am-0367.jpg,12.0,0.0,0.0,null
119,am-3107,NeveRest Classic 60 Gearbox :  No Motor,The NeveRest 60 gearbox is the cutting edge gearbox found on the NeveRest 60 gearmotor. If you wish to change out the gearbox on an existing NeveRest gearmotor this is a drop in replacement gearbox...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-classic-60-gearbox-no-motor/5bd3601161a10d295496441a/large_thumb.jpg?c=1540579345,AndyMark/am-3107.jpg,12.5,0.0,0.0,null
120,am-3377,6x12x4 Flanged Bearing,,1,https://andymark-weblinc.netdna-ssl.com/product_images/6x12x4-flanged-bearing/5bd3800a61a10d29679644fb/large_thumb.jpg?c=1540587530,AndyMark/am-3377.jpg,2.0,0.0,0.0,null
121,am-2384,M5 Pisco Fitting for 1/4 in. press-in tube :  POC...,Pneumatic fitting with M5 threads and 1/4" push-in tubing portNo pipe tape or additional sealant is needed for fastening these fittings This fitting screws into a CKD single or double solenoid valve.,1,https://andymark-weblinc.netdna-ssl.com/product_images/m5-pisco-fitting-for-1-4-in-press-in-tube-poc1-4-m5/am_2384/5bd497c661a10d27d2433412/large_thumb.jpg?c=1540659142,AndyMark/am-2384.jpg,2.5,0.0,0.0,null
122,am-2096,5 Amp Snap Action Breaker,5 Amp Circuit Breaker,1,https://andymark-weblinc.netdna-ssl.com/product_images/5-amp-snap-action-breaker/am_2096/5bd4979b61a10d27d243337b/large_thumb.jpg?c=1540659099,AndyMark/am-2096.jpg,6.0,0.0,0.0,null
123,am-3738_18,18 AWG Yellow Ferrule Crimps - Bulk Qty,Ferrules are crimped on the metal contact rather than through the insulation like standard connectors. This means there is more contact between the wire strands and the contact point. This Ferrule ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/18-awg-yellow-ferrule-crimps-bulk-qty/5bd8b89261a10d5948a53674/large_thumb.jpg?c=1540929682,AndyMark/am-3738_18.jpg,0.05,0.0,0.0,null
124,am-3738_12,12 AWG Gray Ferrule Crimps - Bulk Qty,Ferrules are crimped on the metal contact rather than through the insulation like standard connectors. This means there is more contact between the wire strands and the contact point. This Ferrule ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/12-awg-gray-ferrule-crimps-bulk-qty/5bd8b31961a10d5948a5355b/large_thumb.jpg?c=1540928281,AndyMark/am-3738_12.jpg,0.05,0.0,0.0,null
125,am-3739,Ferrule Crimp Tool,This crimp tool is used in non welding :  standard electrical connections :  for tubular bare terminals and tubular pre-insulated terminals. This tool can be used with ferrules like these: 20 AWG Ferru...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/ferrule-crimp-tool/5bd8b34561a10d5948a53567/large_thumb.jpg?c=1540928325,AndyMark/am-3739.jpg,29.0,0.0,0.0,null
126,am-3738_16,16 AWG Red Ferrule Crimps - Bulk Qty,Ferrules are crimped on the metal contact rather than through the insulation like standard connectors. This means there is more contact between the wire strands and the contact point. This Ferrule ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/16-awg-red-ferrule-crimps-bulk-qty/5bd8b32f61a10d5948a53561/large_thumb.jpg?c=1540928303,AndyMark/am-3738_16.jpg,0.05,0.0,0.0,null
127,am-2839,18 gauge red black bonded wire :  25ft length,This is 18 AWG (gauge) bonded wire* with Red and Black Jacketing. It is much easier to use than two separate wires :  easier to follow during troubleshooting :  and easier to keep your wiring clean. Pu...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/18-gauge-red-black-bonded-wire-25ft-length/5bd33ff361a10d292c964646/large_thumb.jpg?c=1540571123,AndyMark/am-2839.jpg,10.0,0.0,0.0,null
128,am-3507,Touchless Encoder,This small board is the quickest way to measure speed or position on almost any rotating or sliding mechanism. Simply mount the PCB facing the object to be measured :  and apply a contrasting mark to...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/touchless-encoder/5bd8a14a61a10d5935a535a6/large_thumb.jpg?c=1540923722,AndyMark/am-3507.jpg,22.5,0.0,0.0,null
129,am-3072a,DART :  12 in. Actuator Kit,DART is a strong :  fast :  linear actuator designed by the engineers at iR3 Creative. It's driven by a CIM Motor and uses a 0.2 inch pitch ACME lead screw to actuate an aluminum tube 12 inches. Two d...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/dart-12-in-actuator-kit/5bd35a8961a10d2954964351/large_thumb.jpg?c=1540577929,AndyMark/am-3072a.jpg,309.0,0.0,0.0,null
130,am-2008,Bracket for Plastic Air Tank,This is a plastic bracket for mounting the Clippard Air Tank (am-2649). If you plan to use this bracket to hold of these am-2649 tanks :  we recommend using two brackets for each tank.,1,https://andymark-weblinc.netdna-ssl.com/product_images/bracket-for-plastic-air-tank/5bd31b2d61a10d2918964448/large_thumb.jpg?c=1540561709,AndyMark/am-2008.jpg,2.0,0.0,0.0,null
131,am-2575a,Compact Splice Connector :  2-pole :  Qty 10,Every millimeter counts in electrical installations: Building technology requires more and more functions integrated into ever smaller spaces. This connector accommodate fine-stranded wires from 0....Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/compact-splice-connector-2-pole-qty-10/am_2575a/5bd497dd61a10d27d2433450/large_thumb.jpg?c=1540659165,AndyMark/am-2575a.jpg,6.0,0.0,0.0,null
132,am-3283,S25-24 Ninja Star Sprocket,The Ninja Star Sprocket is a series of sprockets aimed at giving FTC more options for moving drive systems and mechanisms. This 25 series sprocket features a 16mm circle of 0.14" holes :  to work wit...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/s25-24-ninja-star-sprocket/5bd3748161a10d29679643a5/large_thumb.jpg?c=1540584577,AndyMark/am-3283.jpg,6.0,0.0,0.0,null
133,am-2570,Timing Belt :  170 Tooth :  Gates 5mm HTD :  15mm wide,Product Overview:This is a Gates HTD timing belt :  manufacturer part number 850-5M-15Usage:Axle Locations for AM14U Variations (.pdf),1,https://andymark-weblinc.netdna-ssl.com/product_images/timing-belt-170-tooth-gates-5mm-htd-15mm-wide/am_2570/5bd497dd61a10d27d243344d/large_thumb.jpg?c=1540659165,AndyMark/am-2570.jpg,16.0,0.0,0.0,null
134,am-0077a,1/2 in Key Hub,500 Key Hub. This hub fits all AndyMark wheels. The machine key is not included with this hub. This part is designed and fabricated in Indiana :  USA.,1,https://andymark-weblinc.netdna-ssl.com/product_images/1-2-in-key-hub/am_0077a/5bd3e2d761a10d27d24331c9/large_thumb.jpg?c=1540612823,AndyMark/am-0077a.jpg,11.0,0.0,0.0,null
135,am-3324,Double Solenoid Valve :  Mead :  1/8 NPT,Double solenoid pneumatic valve without fittings :  manufactured by Mead Fluid Dynamics :  Inc. Mead part number: M4V220-06-12VDCFL,1,https://andymark-weblinc.netdna-ssl.com/product_images/double-solenoid-valve-mead-1-8-npt/5bd379f861a10d2967964474/large_thumb.jpg?c=1540585976,AndyMark/am-3324.jpg,52.0,0.0,0.0,null
136,am-0749,S25-16HA-500-Hex Sprocket,,1,https://andymark-weblinc.netdna-ssl.com/product_images/s25-16ha-500-hex-sprocket/am_0749/5bd3e31661a10d27d2433285/large_thumb.jpg?c=1540612886,AndyMark/am-0749.jpg,11.0,0.0,0.0,null
137,am-0546,SB-50A APP Connector with Contacts,Anderson Power Products Connector with 2 contacts. Used for main power connections. Included Hardware:One - SB-50A red plastic connectorTwo - Anderson Power Products crimp contacts (sized for 6 ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/sb-50a-app-connector-with-contacts/am_0546/5bd3e30861a10d27d243325b/large_thumb.jpg?c=1540612872,AndyMark/am-0546.jpg,3.5,0.0,0.0,null
138,am-3281,Talon SRX Universal Breakout Board,Product Usage Note:This breakout board is safe to use with the Talon SRX. It does not connect to previous versions of the Talon.To use existing products teams have 3D-printed custom mounting bracke...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/talon-srx-universal-breakout-board/5bd373fa61a10d296796438f/large_thumb.jpg?c=1540584442,AndyMark/am-3281.jpg,15.0,0.0,0.0,null
139,am-3462_blue,2 in. Compliant Wheel :  1/2 in. Hex Bore :  50A Du...,Compliant wheels are not intended for moving robots :  but moving objects. Compliant wheels give way to allow rigid objects to be manipulated easily. A line of multiple wheels on a driven hex axle cr...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/2-in-compliant-wheel-half-in-hex-bore-50a-durometer/5bd89d5a61a10d5935a534c6/large_thumb.jpg?c=1540922714,AndyMark/am-3462_blue.jpg,6.0,0.0,0.0,null
140,am-1305,Hex Spacer :  Plastic :  0.50 in. id :  1.124 in. od : ...,This unique spacer can be used to support a wheel on a 1/2 in. hex shaft. It presses into a bearing bore and centers the hex shaft.,1,https://andymark-weblinc.netdna-ssl.com/product_images/hex-spacer-plastic-0-50-in-id-1-124-in-od-0-570-in-long/am_1305/5bd3e34c61a10d27d2433336/large_thumb.jpg?c=1540612940,AndyMark/am-1305.jpg,3.5,0.0,0.0,null
141,am-2678,Pneumatic Fittings Kit,This pneumatic fittings kit is perfect for your first time using pneumatics or restocking your current supply. It contains many of the most commonly used fittings as well as a few extras that alway...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/pneumatic-fittings-kit/am_2678/5bd497ea61a10d27d2433478/large_thumb.jpg?c=1540659178,AndyMark/am-2678.jpg,195.0,0.0,0.0,null
142,am-0144,6 in. Rubber Treaded Wheel,This is the 2008 FIRST Wheel :  provided to FRC teams in the Kit of Parts. No bearings are included. Usage: Use #10-24x3/4 thread forming screws to attach sprockets or hubs to this wheel. Three (3) ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/6-in-rubber-treaded-wheel/am_0144/5bd3e2df61a10d27d24331e3/large_thumb.jpg?c=1540612831,AndyMark/am-0144.jpg,9.0,0.0,0.0,null
143,am-2936a,Thrifty Throttle 2,The Thrifty Throttle 2 provides a solid PWM signal for testing electro-mechanical systems. This can be very useful for FRC teams before their control software is complete or trouble shooting issues...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/thrifty-throttle-2/5bd34d6b61a10d293f964499/large_thumb.jpg?c=1540574571,AndyMark/am-2936a.jpg,29.0,0.0,0.0,null
144,am-2015,Pneumatic fitting :  union tee :  1/4 in. tube,This is a pneumatic push-to-connect union tee fitting. All three of the ports are push-to-connect 1/4" fittings.,1,https://andymark-weblinc.netdna-ssl.com/product_images/pneumatic-fitting-union-tee-1-4-in-tube/am_2015/5bd4979361a10d27d2433360/large_thumb.jpg?c=1540659091,AndyMark/am-2015.jpg,3.0,0.0,0.0,null
145,am-2554,TRIcrimp :  powerpole crimp tool for 15 :  30 :  and ...,The TRIcrimpÂ® crimping tool was exclusively designed by Powerwerx to provide a positive crimp on the 15 :  30 &amp; 45 amp contacts manufactured by Anderson Power Products for the PowerpoleÂ® line o...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/tricrimp-powerpole-crimp-tool-for-15-30-and-45-amp-contacts/am_2554/5bd497da61a10d27d2433444/large_thumb.jpg?c=1540659162,AndyMark/am-2554.jpg,43.0,0.0,0.0,null
146,am-3323,Single Solenoid Valve :  Mead :  1/8 NPT,Single solenoid pneumatic valve without fittings :  manufactured by Mead Fluid Dynamics :  Inc. Mead part number: M4V210-06-12VDCFL Three (3) straight 1/8 NPT fittings (or right angle 1/8 NPT fitti...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/single-solenoid-valve-mead-1-8-npt/5bd379e761a10d296796446f/large_thumb.jpg?c=1540585959,AndyMark/am-3323.jpg,41.0,0.0,0.0,null
147,am-3777,4 Gauge Battery Cable,Six gauge battery cables have been around for a long time in competition robotics. With a larger wire gauge however :  you can prolong your breaker life thanks to the lower resistance of the larger f...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/4-gauge-battery-cable/5bd8b8de61a10d5948a5368e/large_thumb.jpg?c=1540929758,AndyMark/am-3777.jpg,20.0,0.0,0.0,null
148,am-3674,2018 AM14U3 Side Bumper Bracket,This bracket is designed to attach bumpers to the AM14U3 in the 2018 FIRST Robotics Competition season.,1,https://andymark-weblinc.netdna-ssl.com/product_images/2018-am14u3-side-bumper-bracket/5bd8a79a61a10d5935a536e7/large_thumb.jpg?c=1540925338,AndyMark/am-3674.jpg,10.0,0.0,0.0,null
149,am-3106,NeveRest Classic 40 Gearbox :  No Motor,The NeveRest 40 gearbox is the cutting edge gearbox found on the NeveRest 40 gearmotor. If you wish to change out the gearbox on an existing NeveRest gearmotor this is a drop in replacement gearbox...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-classic-40-gearbox-no-motor/5bd35fe761a10d2954964410/large_thumb.jpg?c=1540579303,AndyMark/am-3106.jpg,12.5,0.0,0.0,null
150,am-2716,AM14U Perforated Polycarbonate Sheet :  1/8 in. t...,This clear polycarbonate perforated sheet is sized to fit the AndyMark AM14U Family of Chassis. The design intent of this part is to act as a floor for a mobile robot. This sheet is sized so that i...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/am14u-perforated-polycarbonate-sheet-1-8-in-thick-20-5-in-x24-5-in/am_2716/5bd497f161a10d27d243348c/large_thumb.jpg?c=1540659185,AndyMark/am-2716.jpg,42.0,0.0,0.0,null
151,am-3773,RedLine Encoder Kit,The RedLine Encoder Kit is designed to adapt the AM Mag Encoder(am-3479) onto the backshaft of the RedLine Motor. Due to the mounting it also provides additional support for motor spades. Included ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/redline-encoder-kit/5bd8b3ff61a10d5948a535a0/large_thumb.jpg?c=1540928511,AndyMark/am-3773.jpg,50.0,0.0,0.0,null
152,am-3403,24T HTD Pulley :  1/2 in. Hex Bore,Specifications: Flange diameter: 1.654"Outside Diameter: 1.459"Pitch Diameter: 1.504" Width: 0.276" Bore: 0.50" Hex Material: Black Polycarbonate Fits belt types: 5mm pitch HTD timing belt :  9...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/24t-htd-pulley-1-2-in-hex-bore/5bd8964261a10d5915a5355f/large_thumb.jpg?c=1540920898,AndyMark/am-3403.jpg,9.0,0.0,0.0,null
153,am-0368,#35 Connecting Link for Roller Chain,#35 Connecting Link (Master Link),1,https://andymark-weblinc.netdna-ssl.com/product_images/35-connecting-link-for-roller-chain/am_0368/5bd3e2fb61a10d27d2433236/large_thumb.jpg?c=1540612859,AndyMark/am-0368.jpg,1.0,0.0,0.0,null
154,am-2137,20 meters of Pneumatic tubing :  1/4 in. od :  poly...,This is a 20 meter length of black :  polyurethane pneumatic tubing.Part number UB-1/4-20-BUB = PolyUrethane1/4 = 1/4 diameter20 = 20 meter length (not listed on tubing out of bag)B = BlackNote: The ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/20-meters-of-pneumatic-tubing-1-4-in-od-polyurethane-black/am_2137/5bd497a161a10d27d243338a/large_thumb.jpg?c=1540659105,AndyMark/am-2137.jpg,18.0,0.0,0.0,null
155,am-3745,DeCIMate,This gearbox comes with two AndyMark RedLine Motors (am-3775) to give you a total package of about the same output speed :  size and weight of one CIM motor :  but with almost 700 watts of power! Use t...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/decimate/5bd8b8a961a10d5948a5367c/large_thumb.jpg?c=1540929705,AndyMark/am-3745.jpg,115.0,0.0,0.0,null
156,am-2097,10 Amp Snap Action Breaker,10 Amp Circuit Breaker,1,https://andymark-weblinc.netdna-ssl.com/product_images/10-amp-snap-action-breaker/am_2097/5bd4979b61a10d27d243337c/large_thumb.jpg?c=1540659100,AndyMark/am-2097.jpg,6.0,0.0,0.0,null
157,am-3480_black,4 in. Compliant Wheel :  1/2 in. Hex Bore :  60A Du...,Compliant wheels are not intended for moving robots :  but moving objects. Compliant wheels give way to allow rigid objects to be manipulated easily. A line of multiple wheels on a driven hex axle cr...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/4-in-compliant-wheels/5bd89ec461a10d5935a5351a/large_thumb.jpg?c=1540923076,AndyMark/am-3480_black.jpg,8.0,0.0,0.0,null
158,am-2039,Pneumatic fitting :  elbow :  1/4 in. tube :  press-i...,This is a pneumatic push-to-connect male elbow fitting. The port is a 1/8" NPT male thread :  and 1/4" diameter tube can be pressed in to the push-to-connect fitting.,1,https://andymark-weblinc.netdna-ssl.com/product_images/pneumatic-fitting-elbow-1-4-in-tube-press-in-1-8-in-npt-male/am_2039/5bd4979761a10d27d243336d/large_thumb.jpg?c=1540659095,AndyMark/am-2039.jpg,2.5,0.0,0.0,null
159,am-3562_green,4 in. Compliant Wheel :  3/8 in. Hex Bore :  35A Du...,This is a green 4 in. Compliant wheel that has a 3/8 in. Hex bore and a durometer of 35A.,1,https://andymark-weblinc.netdna-ssl.com/product_images/4-in-compliant-wheel-3-8-in-hex-bore-35a-durometer/5bdc51a361a10d06db43d18c/large_thumb.jpg?c=1541165475,AndyMark/am-3562_green.jpg,8.0,0.0,0.0,null
160,AM_NOID_1,Peanut Extrusion :  Different Lengths,Peanut Extrusion is an easy to use structure. The profile of the extrusion looks like a peanut and has two holes that are perfect for a 1/4-20 thread-forming screw. The added mid spans are position...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/peanut-extrusion-different-lengths-options/5bdc4c7561a10d06c843d1cf/large_thumb.jpg?c=1541164149,AndyMark/AM_NOID_1.jpg,0.0,0.0,0.0,null
161,am-2269,Encoder cable :  36 in. long :  with single pin con...,This is the cable used for our US Digital E4T Encoder and RedLine Encoder Kit. It comes with pre-fabricated individual AVL connectors :  making there no need to crimp your own ends.,1,https://andymark-weblinc.netdna-ssl.com/product_images/encoder-cable-36-in-long-with-single-pin-connectors/am_2269/5bd497b461a10d27d24333d0/large_thumb.jpg?c=1540659124,AndyMark/am-2269.jpg,9.0,0.0,0.0,null
162,am-3218,REV Smart Robot Servo Programmer,The REV Robotics SRS Programmer is the key to unlocking all the smart features of the REV Smart Robot Servo (am-3217). Switching between continuous rotation :  standard servo :  and custom angular mode...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/rev-smart-robot-servo-programmer/5bd36d3061a10d29549645b5/large_thumb.jpg?c=1540582704,AndyMark/am-3218.jpg,20.0,0.0,0.0,null
163,am-2488,CIM Motor Bracket,This bracket is used for mounting a CIM motor easily to our C-Channel.,1,https://andymark-weblinc.netdna-ssl.com/product_images/cim-motor-bracket/am_2488/5bd497d461a10d27d2433433/large_thumb.jpg?c=1540659156,AndyMark/am-2488.jpg,9.0,0.0,0.0,null
164,am-2862,Retention Clip for 15/30/45A Powerpole Connectors,Secure Powerpole connections with these easy to use Powerpole Clips. Don't worry about your power pole connections coming loose during those important times and when the time comes to swap componen...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/retention-clip-for-15-30-45a-powerpole-connectors/5bd3431461a10d292c9646ea/large_thumb.jpg?c=1540571924,AndyMark/am-2862.jpg,0.48,0.0,0.0,null
165,AM_NOID_1,FIRST Tech Challenge Field 6 Panel Bag,This blue heavy duty nylon carry bag with wheels included make it easy to transport your FTC Perimeter Field Kit (am-0481a) using two large carry straps. Two of these zippered bags will hold one F...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/first-tech-challenge-field-6-panel-bag-options/5bdc4cbf61a10d06c843d1fc/large_thumb.jpg?c=1541164223,AndyMark/AM_NOID_1.jpg,0.0,0.0,0.0,null
166,am-3404,24T HTD Pulley Extension,If you need to increase the width of any of our 24 Tooth pullies :  here is the solution! This pulley extension mates with existing pulley halves am-3401 :  am-3402 :  and am-3403. This pulley extension ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/24t-htd-pulley-extension/5bd8965261a10d5915a53564/large_thumb.jpg?c=1540920914,AndyMark/am-3404.jpg,5.0,0.0,0.0,null
167,am-3155_Blue,2 in. Stealth Wheel :  1/2 in. Hex Bore :  50A Duro...,The inside black portion of this wheel is made from molded polycarbonate plastic. The outer tread is TPU (thermoplastic polyurethane) with a 50a durometer hardness. This robust but lightweight whee...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/2-in-stealth-wheel-1-2-in-hex-bore-50a-durometer/5bd3624561a10d295496448b/large_thumb.jpg?c=1540579909,AndyMark/am-3155_Blue.jpg,6.0,0.0,0.0,null
168,am-2324,Polycarbonate :  0.118 thick :  24 in.x24 in. :  gray...,This is a single sheet of polycarbonate (PC) plastic :  cut to a 24x24 inch square :  you can choose your thickness and clear or smoked above. This single sheet of PC will be shipped with the protect...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/polycarbonate-0-118-thick-24-in-x24-in-gray-smoked-tint/am_2324/5bd497bb61a10d27d24333e7/large_thumb.jpg?c=1540659131,AndyMark/am-2324.jpg,22.0,0.0,0.0,null
169,am-3513,AM14U3 XL End Plate,This sheet metal plate makes up the end plate of the AM14U3 drive chassis. This plate captures the Inner and Outer plate of the AM14U3 and provides a surface to mount upper structures.,1,https://andymark-weblinc.netdna-ssl.com/product_images/am14u3-xl-end-plate/5bdc524261a10d06db43d1c2/large_thumb.jpg?c=1541165634,AndyMark/am-3513.jpg,35.0,0.0,0.0,null
170,am-2634,Talon SRX Analog Breakout Board,This breakout board makes wiring 5V analog sensors to the Talon SRX quick and easy. When connected to the Talon SRX through a ribbon cable :  the breakout board provides solder pads to help connect y...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/talon-srx-analog-breakout-board/am_2634/5bd497e561a10d27d243346b/large_thumb.jpg?c=1540659173,AndyMark/am-2634.jpg,12.0,0.0,0.0,null
171,am-2076,Sauro Connector CTF020V8,This is the Sauro CTF020V8 connector :  to be used as the power connector to the NI 4 Slot cRIO as well as the power connector to the roboRIO!,1,https://andymark-weblinc.netdna-ssl.com/product_images/sauro-connector-ctf020v8/5beb441161a10d21ecbc1249/large_thumb.jpg?c=1542145041,AndyMark/am-2076.jpg,3.0,0.0,0.0,null
172,am-3214-6,2x1x0.063 Aluminum Box Extrusion :  6ft,This sharp-cornered 6061-T6 aluminum extrusion is a robust and lightweight solution for custom robot frames and mechanism construction.,1,https://andymark-weblinc.netdna-ssl.com/product_images/2x1x0-063-aluminum-box-extrusion-6ft/5bd36ccf61a10d295496459c/large_thumb.jpg?c=1540582607,AndyMark/am-3214-6.jpg,17.0,0.0,0.0,null
173,AM_NOID_2,2 x 1 Walnut Extrusion,Walnut Extrusion is the latest iteration of the nut-themed structural extrusion line. It follows the design standards of Peanut Extrusion and expands them to a 2x1 profile. Walnut is an easy-to-...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/2-x-1-walnut-extrusion-options/5bdc58b661a10d06db43d454/large_thumb.jpg?c=1541167286,AndyMark/AM_NOID_2.jpg,0.0,0.0,0.0,null
174,am-1178,#10-32 x 1/2 in. SHCS [Qty-25],#10-32 x 1/2 in. long Socket Head Cap Screw,1,https://andymark-weblinc.netdna-ssl.com/product_images/10-32-x-1-2-in-shcs-qty-25/am_1178/5bd3e33e61a10d27d243330d/large_thumb.jpg?c=1540612926,AndyMark/am-1178.jpg,3.5,0.0,0.0,null
175,am-3597,LED Ring :  Green,Whether your robot is doing vision tracking or you want to brighten up a demo robot :  this green LED ring is a powerful tool. This ring emits a green light which can illuminate retro reflective tape...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/led-ring-green/5bdc505e61a10d06c843d38f/large_thumb.jpg?c=1541165150,AndyMark/am-3597.jpg,9.0,0.0,0.0,null
176,AM_NOID_3,3/8 in. Churro Lite :  Different Lengths,Churro has proven itself over years of robot market use as a lightweight and versatile extruded aluminum hex profile :  great for standoffs :  supports :  and low load shafts. Churro Lite offers the same...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/3-8-in-churro-lite-different-lengths-options/5bdc4e4d61a10d06db43d0ed/large_thumb.jpg?c=1541800643,AndyMark/AM_NOID_3.jpg,0.0,0.0,0.0,null
